DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
212112507;08/12/2021 12:00:00 AM;08/12/2021 12:00:00 AM;800;21;Topanga    
212105909;02/24/2021 12:00:00 AM;02/23/2021 12:00:00 AM;1421;21;Topanga    
212112784;08/18/2021 12:00:00 AM;08/18/2021 12:00:00 AM;1100;21;Topanga    
212107400;04/06/2021 12:00:00 AM;03/31/2021 12:00:00 AM;800;21;Topanga    
212111847;07/26/2021 12:00:00 AM;07/26/2021 12:00:00 AM;15;21;Topanga    
212115535;10/22/2021 12:00:00 AM;10/14/2021 12:00:00 AM;1200;21;Topanga    
212100579;03/12/2021 12:00:00 AM;03/11/2021 12:00:00 AM;2230;21;Topanga    
212111807;07/24/2021 12:00:00 AM;07/23/2021 12:00:00 AM;1900;21;Topanga    
212116431;11/14/2021 12:00:00 AM;11/14/2021 12:00:00 AM;330;21;Topanga    
212107043;03/26/2021 12:00:00 AM;03/26/2021 12:00:00 AM;1100;21;Topanga    
212110840;07/02/2021 12:00:00 AM;07/01/2021 12:00:00 AM;1430;21;Topanga    
212104634;01/19/2021 12:00:00 AM;01/19/2021 12:00:00 AM;945;21;Topanga    
212110026;06/10/2021 12:00:00 AM;04/12/2021 12:00:00 AM;2000;21;Topanga    
212117915;12/23/2021 12:00:00 AM;12/22/2021 12:00:00 AM;1500;21;Topanga    
212109634;06/01/2021 12:00:00 AM;06/01/2021 12:00:00 AM;1630;21;Topanga    
222104405;01/13/2022 12:00:00 AM;12/29/2021 12:00:00 AM;1200;21;Topanga    
212105811;02/22/2021 12:00:00 AM;02/21/2021 12:00:00 AM;1130;21;Topanga    
212110050;06/12/2021 12:00:00 AM;06/12/2021 12:00:00 AM;1;21;Topanga    
212113656;09/09/2021 12:00:00 AM;09/08/2021 12:00:00 AM;1700;21;Topanga    
212118010;12/27/2021 12:00:00 AM;12/25/2021 12:00:00 AM;1830;21;Topanga    
212116255;11/09/2021 12:00:00 AM;11/08/2021 12:00:00 AM;2340;21;Topanga    
212107283;03/31/2021 12:00:00 AM;03/31/2021 12:00:00 AM;1000;21;Topanga    
212116098;11/04/2021 12:00:00 AM;05/20/2021 12:00:00 AM;1140;21;Topanga    
212114359;09/25/2021 12:00:00 AM;08/24/2021 12:00:00 AM;1850;21;Topanga    
212112636;08/16/2021 12:00:00 AM;08/16/2021 12:00:00 AM;209;21;Topanga    
212108636;05/05/2021 12:00:00 AM;05/05/2021 12:00:00 AM;1215;21;Topanga    
