DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
201607852;04/07/2020 12:00:00 AM;04/07/2020 12:00:00 AM;1700;16;Foothill   ;1685
201610880;07/08/2020 12:00:00 AM;07/08/2020 12:00:00 AM;1540;16;Foothill   ;1633
201611637;07/30/2020 12:00:00 AM;07/30/2020 12:00:00 AM;1130;16;Foothill   ;1606
201608631;04/30/2020 12:00:00 AM;04/30/2020 12:00:00 AM;1200;16;Foothill   ;1684
201606812;03/06/2020 12:00:00 AM;03/05/2020 12:00:00 AM;200;16;Foothill   ;1653
201610597;06/30/2020 12:00:00 AM;06/30/2020 12:00:00 AM;2250;16;Foothill   ;1685
201609530;05/29/2020 12:00:00 AM;05/28/2020 12:00:00 AM;1200;16;Foothill   ;1663
201614546;11/07/2020 12:00:00 AM;11/06/2020 12:00:00 AM;330;16;Foothill   ;1669
201615771;12/16/2020 12:00:00 AM;12/11/2020 12:00:00 AM;1900;16;Foothill   ;1693
201609886;06/11/2020 12:00:00 AM;06/11/2020 12:00:00 AM;1040;16;Foothill   ;1651
201609729;06/05/2020 12:00:00 AM;06/04/2020 12:00:00 AM;2005;16;Foothill   ;1635
201608499;04/27/2020 12:00:00 AM;04/26/2020 12:00:00 AM;2200;16;Foothill   ;1675
201611388;07/26/2020 12:00:00 AM;07/25/2020 12:00:00 AM;1950;16;Foothill   ;1621
201611180;07/18/2020 12:00:00 AM;07/18/2020 12:00:00 AM;1000;16;Foothill   ;1612
201607931;04/09/2020 12:00:00 AM;03/03/2020 12:00:00 AM;1530;16;Foothill   ;1664
201612327;08/27/2020 12:00:00 AM;08/25/2020 12:00:00 AM;900;16;Foothill   ;1621
201611293;07/16/2020 12:00:00 AM;07/15/2020 12:00:00 AM;430;16;Foothill   ;1617
201608278;04/20/2020 12:00:00 AM;04/19/2020 12:00:00 AM;1153;16;Foothill   ;1612
201611060;07/14/2020 12:00:00 AM;07/14/2020 12:00:00 AM;1620;16;Foothill   ;1693
201608427;04/24/2020 12:00:00 AM;04/24/2020 12:00:00 AM;1800;16;Foothill   ;1679
201611123;07/15/2020 12:00:00 AM;07/15/2020 12:00:00 AM;830;16;Foothill   ;1656
