DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
210407487;04/09/2021 12:00:00 AM;04/09/2021 12:00:00 AM;2015;4;Hollenbeck ;448
210412972;09/18/2021 12:00:00 AM;09/18/2021 12:00:00 AM;1500;4;Hollenbeck ;412
210408328;05/06/2021 12:00:00 AM;05/05/2021 12:00:00 AM;2230;4;Hollenbeck ;448
210404414;01/12/2021 12:00:00 AM;01/12/2021 12:00:00 AM;945;4;Hollenbeck ;443
210409846;06/19/2021 12:00:00 AM;06/18/2021 12:00:00 AM;406;4;Hollenbeck ;457
210409844;06/19/2021 12:00:00 AM;06/19/2021 12:00:00 AM;1200;4;Hollenbeck ;455
210410202;06/30/2021 12:00:00 AM;06/22/2021 12:00:00 AM;2359;4;Hollenbeck ;423
210411372;08/03/2021 12:00:00 AM;08/03/2021 12:00:00 AM;400;4;Hollenbeck ;459
210401113;10/06/2021 12:00:00 AM;10/06/2021 12:00:00 AM;2100;4;Hollenbeck ;448
210412670;09/08/2021 12:00:00 AM;09/07/2021 12:00:00 AM;1531;4;Hollenbeck ;443
210406793;03/18/2021 12:00:00 AM;03/18/2021 12:00:00 AM;200;4;Hollenbeck ;463
210406617;03/13/2021 12:00:00 AM;03/13/2021 12:00:00 AM;1530;4;Hollenbeck ;424
210408526;05/11/2021 12:00:00 AM;05/11/2021 12:00:00 AM;230;4;Hollenbeck ;427
210404335;01/10/2021 12:00:00 AM;01/10/2021 12:00:00 AM;1042;4;Hollenbeck ;439
210404159;01/05/2021 12:00:00 AM;01/05/2021 12:00:00 AM;1040;4;Hollenbeck ;453
210414619;11/06/2021 12:00:00 AM;11/06/2021 12:00:00 AM;530;4;Hollenbeck ;409
210415916;12/16/2021 12:00:00 AM;12/13/2021 12:00:00 AM;1030;4;Hollenbeck ;491
210407434;04/07/2021 12:00:00 AM;04/07/2021 12:00:00 AM;2245;4;Hollenbeck ;449
210413267;09/27/2021 12:00:00 AM;09/27/2021 12:00:00 AM;1030;4;Hollenbeck ;424
210404911;01/24/2021 12:00:00 AM;01/24/2021 12:00:00 AM;1450;4;Hollenbeck ;429
210404810;01/22/2021 12:00:00 AM;01/04/2021 12:00:00 AM;1205;4;Hollenbeck ;466
210409294;06/03/2021 12:00:00 AM;05/17/2021 12:00:00 AM;2045;4;Hollenbeck ;437
210404417;01/12/2021 12:00:00 AM;01/05/2021 12:00:00 AM;1600;4;Hollenbeck ;469
